image_id,file_name,segment_id,category_id,gt_name,candidate_labels,thing_or_stuff,scores,pred,hit,area,bbox,score_gt,score_other,score_unknown,score_none,top1_score,top2_score,margin,area_bin_q
15517,000000015517.jpg,20,1,person,"['person', 'other', 'unknown', 'none']",thing,"{'gt': 0.2044677734375, 'other': 0.2381591796875, 'unknown': 0.2186279296875, 'none': 0.219482421875}",other,False,149,"[0, 0, 0, 0]",0.2044677734375,0.2381591796875,0.2186279296875,0.219482421875,0.2381591796875,0.219482421875,0.0186767578125,Q1(smallest)
51961,000000051961.jpg,2,185,fence-merged,"['fence-merged', 'other', 'unknown', 'none']",stuff,"{'gt': 0.22412109375, 'other': 0.214599609375, 'unknown': 0.1943359375, 'none': 0.2296142578125}",none,False,67321,"[0, 0, 0, 0]",0.22412109375,0.214599609375,0.1943359375,0.2296142578125,0.2296142578125,0.22412109375,0.0054931640625,Q4(largest)
35682,000000035682.jpg,21,1,person,"['person', 'other', 'unknown', 'none']",thing,"{'gt': 0.21630859375, 'other': 0.2293701171875, 'unknown': 0.22119140625, 'none': 0.214599609375}",other,False,58467,"[0, 0, 0, 0]",0.21630859375,0.2293701171875,0.22119140625,0.214599609375,0.2293701171875,0.22119140625,0.0081787109375,Q4(largest)
47585,000000047585.jpg,10,1,person,"['person', 'other', 'unknown', 'none']",thing,"{'gt': 0.218994140625, 'other': 0.2286376953125, 'unknown': 0.2012939453125, 'none': 0.2052001953125}",other,False,2505,"[0, 0, 0, 0]",0.218994140625,0.2286376953125,0.2012939453125,0.2052001953125,0.2286376953125,0.218994140625,0.0096435546875,Q2
7977,000000007977.jpg,7,193,grass-merged,"['grass-merged', 'other', 'unknown', 'none']",stuff,"{'gt': 0.2200927734375, 'other': 0.2283935546875, 'unknown': 0.21923828125, 'none': 0.215576171875}",other,False,636,"[0, 0, 0, 0]",0.2200927734375,0.2283935546875,0.21923828125,0.215576171875,0.2283935546875,0.2200927734375,0.00830078125,Q2
50380,000000050380.jpg,6,161,stairs,"['stairs', 'other', 'unknown', 'none']",stuff,"{'gt': 0.2086181640625, 'other': 0.2283935546875, 'unknown': 0.2164306640625, 'none': 0.2076416015625}",other,False,835,"[0, 0, 0, 0]",0.2086181640625,0.2283935546875,0.2164306640625,0.2076416015625,0.2283935546875,0.2164306640625,0.011962890625,Q2
7977,000000007977.jpg,6,166,tent,"['tent', 'other', 'unknown', 'none']",stuff,"{'gt': 0.2095947265625, 'other': 0.2276611328125, 'unknown': 0.2186279296875, 'none': 0.21533203125}",other,False,1134,"[0, 0, 0, 0]",0.2095947265625,0.2276611328125,0.2186279296875,0.21533203125,0.2276611328125,0.2186279296875,0.009033203125,Q2
15517,000000015517.jpg,4,184,tree-merged,"['tree-merged', 'other', 'unknown', 'none']",stuff,"{'gt': 0.2225341796875, 'other': 0.226318359375, 'unknown': 0.2147216796875, 'none': 0.2099609375}",other,False,25866,"[0, 0, 0, 0]",0.2225341796875,0.226318359375,0.2147216796875,0.2099609375,0.226318359375,0.2225341796875,0.0037841796875,Q4(largest)
22479,000000022479.jpg,4,181,window-other,"['window-other', 'other', 'unknown', 'none']",stuff,"{'gt': 0.2127685546875, 'other': 0.226318359375, 'unknown': 0.2120361328125, 'none': 0.2069091796875}",other,False,3473,"[0, 0, 0, 0]",0.2127685546875,0.226318359375,0.2120361328125,0.2069091796875,0.226318359375,0.2127685546875,0.0135498046875,Q3
35682,000000035682.jpg,6,1,person,"['person', 'other', 'unknown', 'none']",thing,"{'gt': 0.204833984375, 'other': 0.225830078125, 'unknown': 0.2103271484375, 'none': 0.2054443359375}",other,False,4071,"[0, 0, 0, 0]",0.204833984375,0.225830078125,0.2103271484375,0.2054443359375,0.225830078125,0.2103271484375,0.0155029296875,Q3
